Date,GPR,GPR_percentile,GPR_regime
2012-11,81.38964080810547,27.254509018036075,LOW
2012-12,74.83155822753906,17.034068136272545,LOW
2013-01,90.6574935913086,46.6933867735471,LOW
2013-02,81.59033203125,28.0561122244489,LOW
2013-03,75.89672088623047,18.43687374749499,LOW
2013-04,95.10787200927734,53.50701402805611,MODERATE
2013-05,83.71731567382812,33.86773547094189,LOW
2013-06,82.97300720214844,30.861723446893787,LOW
2013-07,73.97581481933594,16.032064128256515,LOW
2013-08,90.95674896240234,46.8937875751503,LOW
2013-09,100.4593276977539,60.721442885771545,MODERATE
2013-10,72.95311737060547,15.030060120240481,LOW
2013-11,77.77902221679688,21.442885771543086,LOW
2013-12,70.37248992919922,13.226452905811623,LOW
2014-01,77.91596984863281,21.8436873747495,LOW
2014-02,69.00352478027344,11.823647294589179,LOW
2014-03,119.83855438232422,78.95791583166333,HIGH
2014-04,93.22154235839844,50.701402805611224,MODERATE
2014-05,83.4288558959961,32.26452905811623,LOW
2014-06,98.76710510253906,59.3186372745491,MODERATE
2014-07,138.7539520263672,87.57515030060121,HIGH
2014-08,136.44558715820312,85.57114228456913,HIGH
2014-09,131.55665588378906,83.76753507014028,HIGH
2014-10,83.66100311279297,33.66733466933868,LOW
2014-11,84.38005065917969,34.2685370741483,LOW
2014-12,86.5262222290039,38.07615230460922,LOW
2015-01,111.9856948852539,73.14629258517034,MODERATE
2015-02,111.92469787597656,72.74549098196393,MODERATE
2015-03,104.23526763916016,65.7314629258517,MODERATE
2015-04,102.19049072265624,62.72545090180361,MODERATE
2015-05,76.2623291015625,19.238476953907817,LOW
2015-06,85.90596771240234,37.274549098196395,LOW
2015-07,106.80866241455078,68.93787575150301,MODERATE
2015-08,82.47853088378906,29.859719438877757,LOW
2015-09,98.7674560546875,59.519038076152306,MODERATE
2015-10,91.931884765625,48.09619238476954,LOW
2015-11,150.71588134765625,91.58316633266533,EXTREME
2015-12,148.23687744140625,90.38076152304609,EXTREME
2016-01,118.21114349365234,78.35671342685372,HIGH
2016-02,103.74964904785156,64.52905811623246,MODERATE
2016-03,109.72029113769533,70.74148296593187,MODERATE
2016-04,85.22145080566406,35.27054108216433,LOW
2016-05,88.3324203491211,41.28256513026052,LOW
2016-06,90.16812896728516,45.09018036072145,LOW
2016-07,114.6104507446289,75.55110220440882,HIGH
2016-08,98.73848724365234,58.91783567134269,MODERATE
2016-09,104.54522705078124,66.53306613226454,MODERATE
2016-10,85.74778747558594,36.673346693386776,LOW
2016-11,82.91875457763672,30.661322645290582,LOW
2016-12,102.1804656982422,62.5250501002004,MODERATE
2017-01,105.20123291015624,67.13426853707415,MODERATE
2017-02,114.20635986328124,75.35070140280561,HIGH
2017-03,96.63587951660156,55.71142284569139,MODERATE
2017-04,119.45992279052734,78.75751503006012,HIGH
2017-05,102.57996368408205,63.32665330661323,MODERATE
2017-06,126.7890167236328,81.76352705410822,HIGH
2017-07,102.81346130371094,63.52705410821643,MODERATE
2017-08,138.5316162109375,86.97394789579158,HIGH
2017-09,115.5344467163086,76.15230460921843,HIGH
2017-10,91.4615707397461,47.49498997995992,LOW
2017-11,92.59601593017578,49.298597194388776,LOW
2017-12,82.71825408935547,30.060120240480963,LOW
2018-01,92.42678833007812,48.897795591182366,LOW
2018-02,64.49137115478516,9.01803607214429,LOW
2018-03,111.96229553222656,72.94589178356713,MODERATE
2018-04,123.2634735107422,80.7615230460922,HIGH
2018-05,125.66661834716795,81.3627254509018,HIGH
2018-06,103.96858978271484,65.13026052104209,MODERATE
2018-07,110.02842712402344,71.54308617234469,MODERATE
2018-08,112.74168395996094,73.94789579158316,MODERATE
2018-09,75.05390930175781,17.835671342685373,LOW
2018-10,92.0164794921875,48.296593186372746,LOW
2018-11,80.40758514404297,25.450901803607216,LOW
2018-12,90.607666015625,46.49298597194389,LOW
2019-01,87.42410278320312,39.67935871743487,LOW
